Restaurant_Name,City,Address,Locality,Locality Verbose,lon,lat,cost_for_two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price_Range,Rating,Rating color,Review,Votes
Al Noor Foods,New Delhi,"23, J-Block, Ashok Vihar Phase 1, New Delhi",Ashok Vihar Phase 1,"Ashok Vihar Phase 1, New Delhi",77.1731402,28.6870353,500,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,0
Taypï¿½ï¿½,Brasï¿½_lia,"Fashion Park, Shis Ql 17, Bloco G, Loja 208, Lago Sul, Brasï¿½_lia",Lago Sul,"Lago Sul, Brasï¿½_lia",-47.872359,-15.860620999999998,100,Brazilian Real(R$),No,No,No,No,4,3,Yellow,Good,5
Variety of Shawarmas,New Delhi,"5/1, Subhash Nagar, New Delhi",Subhash Nagar,"Subhash Nagar, New Delhi",77.1128304,28.638209200000002,150,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Lily Food's,Gurgaon,"Ground Floor, Gold Souk Mall, Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon",77.0791682,28.450859299999998,600,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,0
Laxmi Dhaba,New Delhi,"Ring Road, Naraina, New Delhi",Naraina,"Naraina, New Delhi",77.136184,28.6204842,100,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
Hungerz Hub,New Delhi,"8/30, Sanatan Dharm Mandir, Moti Nagar, New Delhi",Moti Nagar,"Moti Nagar, New Delhi",77.13899659999998,28.659473600000002,250,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Dunkin' Donuts,New Delhi,"14, Food Court, 2nd Floor, Moments Mall, Kirti Nagar, New Delhi","Moments Mall, Kirti Nagar","Moments Mall, Kirti Nagar, New Delhi",77.146741,28.6568576,600,Indian Rupees(Rs.),No,No,No,No,2,3,Yellow,Good,107
Mysore Cafe,New Delhi,"12, South Avenue Market, Near Sena Bhawan, India Gate, New Delhi",India Gate,"India Gate, New Delhi",77.20146340000001,28.6083918,200,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,12
Kake Da Hotel,New Delhi,"19, BG-8, DDA Market, Paschim Vihar, New Delhi",Paschim Vihar,"Paschim Vihar, New Delhi",77.1005772,28.6621865,600,Indian Rupees(Rs.),No,Yes,No,No,2,3,Yellow,Good,29
Bikaner Rasoi,New Delhi,"Plaza Market, Vasundhara Enclave, New Delhi",Vasundhara Enclave,"Vasundhara Enclave, New Delhi",77.3159908,28.601004999999997,250,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Baskin Robbins,Noida,"Shop GF-26, Omaxe NRI City Center, Greater Noida, Noida",Greater Noida,"Greater Noida, Noida",77.5111958,28.463268499999998,300,Indian Rupees(Rs.),No,Yes,No,No,1,0,White,Not rated,3
Vaishno Punjabi Dhaba,New Delhi,"E-16/289, Sector 8, Rohini, New Delhi",Rohini,"Rohini, New Delhi",77.1215051,28.7048624,400,Indian Rupees(Rs.),No,Yes,No,No,1,3,Yellow,Good,70
Roka,London,"37 Charlotte Street, Fitzrovia, London W1T 1RR","Charlotte Street, Fitzrovia","Charlotte Street, Fitzrovia, London",-0.135524,51.518935,60,Pounds(ï¿½ï¿½),No,No,No,No,3,4,Dark Green,Excellent,436
Cafe Coffee Day,New Delhi,"12, Community Centre, New Friends Colony, New Delhi","Community Centre, New Friends Colony","Community Centre, New Friends Colony, New Delhi",77.26926506,28.562451899999996,450,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,10
The Royal Peasant,Athens,"1675 S. Lumpkin St., Athens, GA 30606",Athens,"Athens, Athens",-83.38728,33.937502,10,Dollar($),No,No,No,No,1,4,Green,Very Good,546
The Salad Bowl,New Delhi,"Navjeevan Vihar, Malviya Nagar, New Delhi",Malviya Nagar,"Malviya Nagar, New Delhi",77.2002839,28.532232699999998,800,Indian Rupees(Rs.),No,Yes,No,No,2,3,Yellow,Good,34
Tasty Dhaba Family Restaurant,Faridabad,"12/4, Sarai Khawaja, Banarasi Market, Near Toll Gate, Main Mathura Road, Sector 37, Faridabad",Sector 37,"Sector 37, Faridabad",77.3060567,28.474531,400,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Ghar Ki Handi,Gurgaon,"Sector 56, Gurgaon",Sector 56,"Sector 56, Gurgaon",0.0,0.0,300,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,6
Yo China Restaurant,Ranchi,"2nd Floor, Citadel Building, Main Road, Ranchi",Hindpiri,"Hindpiri, Ranchi",85.32409722,23.35516389,650,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,117
Kake Da Hotel,New Delhi,"G1-G2, Sagar Complex, New Rajdhani Enclave, Preet Vihar, New Delhi",Preet Vihar,"Preet Vihar, New Delhi",77.296126,28.642870399999996,600,Indian Rupees(Rs.),No,Yes,No,No,2,2,Orange,Average,15
Sugar Loft,New Delhi,"Safdarjung Enclave, Safdarjung, New Delhi",Safdarjung,"Safdarjung, New Delhi",77.19585299,28.56573815,500,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,26
Happy Hakka,New Delhi,"28, Vasant Arcade, B7 Market, Vasant Kunj, New Delhi",Vasant Kunj,"Vasant Kunj, New Delhi",77.1520605,28.533287899999994,650,Indian Rupees(Rs.),No,Yes,No,No,2,4,Green,Very Good,173
Vaishno Bhojnalaya,New Delhi,"Near Swargashram Road, Hari Nagar, Subhash Nagar, New Delhi",Subhash Nagar,"Subhash Nagar, New Delhi",77.1104921,28.6341756,150,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,10
Chehel Pehel,New Delhi,"Shop 11, DDA Market, Masjid Mod, Greater Kailash (GK) 3, New Delhi",Greater Kailash (GK) 3,"Greater Kailash (GK) 3, New Delhi",77.23596912,28.53722177,700,Indian Rupees(Rs.),No,Yes,No,No,2,3,Yellow,Good,159
Fresc Co,New Delhi,"78, Janpath, New Delhi",Janpath,"Janpath, New Delhi",77.21972290000001,28.628293199999998,1900,Indian Rupees(Rs.),Yes,Yes,No,No,3,3,Yellow,Good,1347
Magical Momos,Faridabad,"Huda Market, Sector 37, Faridabad",Sector 37,"Sector 37, Faridabad",77.31040990000001,28.480637899999994,350,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Manami Japanese Restaurant,New Delhi,"Avalon Hotel, Near Sultanpur Metro Station, Sultanpur, MG Road, New Delhi",MG Road,"MG Road, New Delhi",77.1604883,28.496825800000003,1000,Indian Rupees(Rs.),Yes,No,No,No,3,0,White,Not rated,0
Burger Bites & More,Gurgaon,"Shop 5, Annapurna Market, Opposite C2 Block, Palam Vihar, Gurgaon",Palam Vihar,"Palam Vihar, Gurgaon",77.02038370000001,28.4939088,450,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,19
Cream Bell Scoopers,Noida,"Shop 3, I 25, Near Metro Hospital, Sector 12, Noida",Sector 12,"Sector 12, Noida",77.3377445,28.596946799999998,200,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,2
Invitation Restaurant,Faridabad,"SCF 68, HUDA Market, Sector 7, Faridabad",Sector 7,"Sector 7, Faridabad",77.3239171,28.363238,500,Indian Rupees(Rs.),No,Yes,No,No,2,2,Orange,Average,17
Deli Belly,New Delhi,"Shop 31, Ground Floor, DLF Tower B, Jasola, New Delhi",Jasola,"Jasola, New Delhi",77.2884959,28.5398033,1000,Indian Rupees(Rs.),Yes,No,No,No,3,2,Orange,Average,49
Longitude 77ï¿½ï¿½03' Bar - Le Meridien Gurgaon,Gurgaon,"Le Meridien Gurgaon, Sector 26, Gurgaon Delhi Border, MG Road, Gurgaon","Le Meridien Gurgaon, MG Road","Le Meridien Gurgaon, MG Road, Gurgaon",77.1081995,28.4805868,1600,Indian Rupees(Rs.),Yes,No,No,No,3,3,Orange,Average,23
